ingredient_group,recipe,recipe_new,order,technique,url
arraina,Urraburua gatzetan,urraburua_gatzetan,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Urraburua_gatzetan
arraina,"Zapo, kuia txiki eta txanpiñoi brotxetak",zapo_kuia_txiki_eta_txanpiñoi_brotxetak,bigarren platerak,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Zapo,_kuia_txiki_eta_txanpi%C3%B1oi_brotxetak"
arrautza,Ananaz beteriko krepeak,ananaz_beteriko_krepeak,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ananaz_beteriko_krepeak
arrautza,Arrautza budina,arrautza_budina,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_budina
arrautza,Arrautza egosia,arrautza_egosia,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_egosia
arrautza,Arrautza frijitua,arrautza_frijitua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_frijitua
arrautza,Arrautza galdarraztatua,arrautza_galdarraztatua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_galdarraztatua
arrautza,Arrautza habia,arrautza_habia,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_habia
arrautza,Arrautza mollet eran,arrautza_mollet_eran,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza_mollet_eran
arrautza,"Arrautza, uretan pasea",arrautza_uretan_pasea,,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautza,_uretan_pasea"
arrautza,Arrautzak kardu eta kutixiekin,arrautzak_kardu_eta_kutixiekin,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautzak_kardu_eta_kutixiekin
arrautza,Arrautzarekin labean eginiko gazta tarta,arrautzarekin_labean_eginiko_gazta_tarta,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrautzarekin_labean_eginiko_gazta_tarta
arrautza,"Arroz odolkia, piper eta galeper arrautzekin",arroz_odolkia_piper_eta_galeper_arrautzekin,lehen platerak,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_odolkia,_piper_eta_galeper_arrautzekin"
arrautza,Arto irin tortillak,arto_irin_tortilak,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arto_irin_tortillak
arrautza,Bakailao tortilla,bakailao_tortila,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_tortilla
arrautza,Baratxuri zopa 2,baratxuri_zopa2,lehen platerak,zopak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baratxuri_zopa_2
arrautza,Baratxuri zopa bakailaoarekin,baratxuri_zopa_bakailaoarekin,lehen platerak,zopak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baratxuri_zopa_bakailaoarekin
arrautza,Barazki eta txekor azpizun erregosia,barazki_eta_txekor_azpizun_erregosia,lehen platerak,erregosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_txekor_azpizun_erregosia
arrautza,Barazki krepeak,barazki_krepeak,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_krepeak
arrautza,Barazki menestra 2,barazki_menestra2,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_menestra_2
arrautza,Barazki tortilla,barazki_tortila,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_tortilla
arrautza,Esne frijituak,esne_frijituak,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Esne_frijituak
arrautza,Etxeko bizkotxoa marrubiekin eta esne gainarekin,etxeko_bizkotxoa_marrubiekin_eta_esne_gainarekin,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Etxeko_bizkotxoa_marrubiekin_eta_esne_gainarekin
arrautza,Etxeko gailetak kremaz beteak,etxeko_gailetak_kremaz_beteak,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Etxeko_gailetak_kremaz_beteak
arrautza,Flamenka eran eginiko arrautzak,flamenka_eran_eginiko_arrautzak,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Flamenka_eran_eginiko_arrautzak
arrautza,Galeper arrautza pintxoa,galeper_arrautza_pintxoa,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Galeper_arrautza_pintxoa
arrautza,Galeperra arrautza egosia,galeper_arrautza_egosia,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Galeperra_arrautza_egosia
arrautza,Kafe budina,kafe_budina,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kafe_budina
arrautza,"Kardua, urdaiazpiko eta arrautza eskalfatuarekin",kardua_urdaiazpiko_eta_arrautza_eskalfatuarekin,lehen platerak,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kardua,_urdaiazpiko_eta_arrautza_eskalfatuarekin"
arrautza,Krema ingelesa,krema_ingelesa,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Krema_ingelesa
arrautza,Krema opila,krema_opila,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Krema_opila
arrautza,Kremaz beteriko krepeak,kremaz_beteriko_krepeak,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kremaz_beteriko_krepeak
arrautza,Marrubi eta kremazko hostopilak,marrubi_eta_kremazko_hostopilak,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubi_eta_kremazko_hostopilak
arrautza,Marrubi tarta 2,marrubi_tarta2,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubi_tarta_2
arrautza,Natilak,natilak,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Natilak
arrautza,Neguko boilur beltzen nahaskia,neguko_boilur_beltzen_nahaskia,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Neguko_boilur_beltzen_nahaskia
arrautza,Ogi opilak,ogi_opilak,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ogi_opilak
arrautza,Oilasko eta arrautza kroketak,oilasko_eta_arrautza_kroketak,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Oilasko_eta_arrautza_kroketak
arrautza,Oilasko kroketak,oilasko_kroketak,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Oilasko_kroketak
arrautza,Onddo berria gorringoarekin,onddo_berria_gorringoarekin,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Onddo_berria_gorringoarekin
arrautza,Ontzian eginiko arrautza,ontzian_eginiko_arrautza,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ontzian_eginiko_arrautza
arrautza,"Orburua, arroz odolkia eta arrautza gorringoa plantxan",orburua_arroz_odolkia_eta_arrautza_gorringoa_plantxan,lehen platerak,plantxan,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburua,_arroz_odolkia_eta_arrautza_gorringoa_plantxan"
