ingredient_group,recipe,order,technique,url
arraina,Itsasoa eta sagardoa,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsasoa_eta_sagardoa
arraina,Izokin kanape edo pintxoa,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izokin_kanape_edo_pintxoa
arraina,Izokin kremaz beteriko tartaletak,,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izokin_kremaz_beteriko_tartaletak
arraina,Izokin marinatua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izokin_marinatua
arraina,Kokotxak leka eta tomate konpotarekin,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kokotxak_leka_eta_tomate_konpotarekin
arraina,Legatz arrautzaztatua,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_arrautzaztatua
arraina,Legatz betea,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_betea
arraina,Legatz kokotea labean,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_kokotea_labean
arraina,Legatz kokotxak arrautzaztatuak,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_kokotxak_arrautzaztatuak
arraina,"Legatz xerrak plantxan, barazki eta baratxuri freskoekin",bigarren platerak,plantxan,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_xerrak_plantxan,_barazki_eta_baratxuri_freskoekin"
arraina,"Legatza barazkiekin, papillote erara",bigarren platerak,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_barazkiekin,_papillote_erara"
arraina,Legatza kokotea,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_kokotea
arraina,Legatza otarrainxka saldarekin eta txirlekin,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_otarrainxka_saldarekin_eta_txirlekin
arraina,"Legatza plantxan, barazkiekin",bigarren platerak,plantxan,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_plantxan,_barazkiekin"
arraina,"Legatza plantxan, kuia txikiarekin eta pipermorroekin",bigarren platerak,plantxan,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_plantxan,_kuia_txikiarekin_eta_pipermorroekin"
arraina,Legatza saltsa berdean txirla eta kokotxekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_saltsa_berdean_txirla_eta_kokotxekin
arraina,Lupia labean,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Lupia_labean
arraina,"Lupia, sagardo eta itsaski lurrinekin",,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Lupia,_sagardo_eta_itsaski_lurrinekin"
arraina,Marmitakoa 2,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marmitakoa_2
arraina,Mendrezka errea,,erre,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Mendrezka_errea
arraina,Perloi egosia patatekin,,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Perloi_egosia_patatekin
