recipe,ingredient_group,order,technique,url,origin,ingredients
Ganbaz beteriko txipiroi frijitua,itsaskia,bigarren platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbaz_beteriko_txipiroi_frijitua,bertakoa,"ganba, txipiroi"
Garaiko-barazki burruntzia,"barazkia, oliba olioa",lehen platerak,plantxan,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Garaiko_barazki_burruntzia,,garaiko-barazki
Garaiko-ilarrak patata ziazerba eta txirlekin,lekaleak,bigarren platerak,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Garaiko_ilarrak,_patata,_ziazerba_eta_txirlekin",bertakoa,"garaiko-ilarr, patata, ziazerba, txirl"
Gari-zainzuriak plantxan txipiroiekin,oliba olioa,lehen platerak,plantxan,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gari_zainzuriak_plantxan,_txipiroiekin",bertakoa,"gari-zainzuri, txipiroi"
Gazta eta urdai egosi frijituak,esnekiak,azkenburukoak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_eta_urdai_egosi_frijituak,,"gazta, urdai"
Gazta-izozkia,esnekiak,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_izozkia,,
Gazta-krema,esnekiak,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_krema,,
Gazta kroketak,esnekiak,lehen platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_kroketak,,gazta
Gazta-tarta labean,esnekiak,azkenburukoak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_tarta_labean,,
Gazta-tarta mugurdi marmeladarekin,esnekiak,azkenburukoak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_tarta_mugurdi_mermeladarekin,,mugurdi
Gazta-urdin kanape edo pintxoa,esnekiak,lehen platerak,hotza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_urdin_kanape_edo_pintxoa,frantzia,gazta-urdin
Gazta-urdin krema kanapea,esnekiak,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_urdin_krema_kanapea,frantzia,gazta-urdin
Gaztaz beteriko ravioliak txanpiñoi eta txirla kremarekin,"esnekiak, pasta",lehen platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gaztaz_beteriko_ravioliak_txanpi%C3%B1oi_eta_txirla_kremarekin,,"gazta, txanpiñoi, txirla"
Gianduja krema,txokolatea,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gianduja_krema,,gianduja
Guakamole txalupa otarrainxkekin,"fruta, oliba olioa",lehen platerak,hotza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Guakamole_txalupa_otarrainxkekin,mexiko,otarrainxk
Guakamolea,fruta,lehen platerak,hotza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Guakamolea,mexiko,
Haragi-betegaia,haragia,bigarren platerak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_betegaia,,
Haragi-bolak barazki saltsan,haragia,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_bolak_barazki_saltsan,,"haragi-bol, barazki"
Haragi-bolak tomate saltsan,haragia,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Albondigak_tomate_saltsan,,"haragi-bol, tomate"
Haragi carpaccioa,haragia,lehen platerak,carpaccio,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_carpaccioa,,haragi
Haragi egosiz eta txanpiñoiz beteriko piperrak,"haragia, oliba olioa",bigarren platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_egosiz_eta_txanpinoiz_beteriko_piperrak,,"haragi, txanpiñoi, piperr"
Haragi enpanada,haragia,bigarren platerak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_enpanada,,haragi
Haragi enpanadila,haragia,bigarren platerak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_enpanadilla,,haragi
Haragi gisatua,haragia,bigarren platerak,erregosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_gisatua,,haragi
Haragi kaneloiak,haragia,lehen platerak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_kaneloiak,italia,haragi
Haragi kroketak,haragia,lehen platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_kroketak,,haragi
Haragi lasagna,haragia,lehen platerak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_lasagna,italia,haragi
Haragi ragouta,haragia,bigarren platerak,erregosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_ragouta,italia,haragi
Haragi tartarra,haragia,lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragia_tartar_eran,,haragi
Haragizko piper-beteak,haragia,bigarren platerak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragizko_piper_beteak,,haragizko
Hegalaburra papillotean,arraina,bigarren platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegalaburra_papillote_eran,bertakoa,hegalaburra
Hegaluze ahuakate eta piper tartarra,"barazkia, arraina, oliba olioa",lehen platerak,entsalada,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze,_ahuakate_eta_piper_tartarra",bertakoa,"hegaluze, ahuakate, piper"
Hegaluze edo arrain betegaia,arraina,bigarren platerak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_arrain_betegaia,bertakoa,"hegaluze, arrain"
Hegaluze edo hegalabur salda,arraina,lehen platerak,zopak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalabur_salda,bertakoa,"hegaluze, hegalabur"
Hegaluze edo hegalaburra ontziratua,arraina,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalaburra_ontziratua,bertakoa,"hegaluze, hegalaburra"
Hegaluze edo hegalaburra tipularekin,arraina,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalaburra_tipularekin,bertakoa,"hegaluze, hegalaburra, tipula"
Hegaluze edo hegalaburra tomatearekin,arraina,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalaburra_tomatearekin,bertakoa,"hegaluze, hegalaburra, tomatea"
Hegaluze enpanada,arraina,bigarren platerak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_enpanada,bertakoa,hegaluze
Hegaluze enpanadila,arraina,bigarren platerak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_enpanadilla,bertakoa,hegaluze
Hegaluze entsalada otarrainxka eta piper-gorriz eginiko tartarrarekin,"barazkia, arraina, oliba olioa",lehen platerak,entsalada,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_entsalada,_otarrainxka_eta_piper_gorriz_eginiko_tar-tarrarekin",bertakoa,"hegaluze, otarrainxka"
Hegaluze eta ibarrako-piper pintxoa,arraina,lehen platerak,hotza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_eta_Ibarrako_piper_pintxoa,bertakoa,"hegaluze, ibarrako-piper"
Hegaluze tartarra,arraina,lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_tartarra,bertakoa,hegaluze
Hegaluzea asiako erara udaberriko entsaladan,"barazkia, arraina, oliba olioa",lehen platerak,entsalada,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluzea_Asiako_erara,_udaberriko_entsaladan",bertakoa,hegaluzea
Hegaluzea tomate konpotarekin,arraina,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluzea_tomate_konpotarekin,bertakoa,"hegaluzea, tomate"
Hiru-gutiziko arroza,arroza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hiru_gutiziko_arroza,asia,
Hostopil koka,"barazkia, oliba olioa",lehen platerak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hostopil_koka,espainia,
Hostopila odolki eta barazkiz beteta,barazkia,lehen platerak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hostopila_odolki_eta_barazkiz_beteta,bertakoa,"odolki, barazki"
Hur eta txokolate opila,txokolatea,azkenburukoak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hur_eta_txokolate_opila,,"hur, txokolate"
Ilar budina,lekaleak,lehen platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ilar_budina,,ilar
Ilar egosia,lekaleak,lehen platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ilar_egosia,,ilar
Ilar krema,lekaleak,lehen platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ilar_krema,,ilar
Ilarrak urdaiazpikoarekin,lekaleak,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ilarrak_urdaiazpikoarekin,espainia,"ilarr, urdaiazpikoa"
Irasagarra2,fruta,azkenburukoak,hotza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Irasagarra_2,,
Itsaski-paella,"itsaskia, arroza, oliba olioa",lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_paella,espainia,
Itsas-zapoa,arraina,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_zapoa,bertakoa,itsas-zapoa
Itsas-zapoa koxkera erara,arraina,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_zapoa_koxkera_erara,bertakoa,itsas-zapoa
Itsas-zapoa saltsa-berdean txirlekin,arraina,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_zapoa_saltsa_berdean_txirlekin,bertakoa,"itsas-zapoa, txirl"
Itsaski krema,itsaskia,bigarren platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsaski_krema,,itsaski
Itsaski paella,"itsaskia, arroza",lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsaski_paella,espainia,itsaski
Itsaskiak sagardoarekin,arraina,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsaskiak_sagardoarekin,bertakoa,sagardoa
Itsasoa eta sagardoa,arraina,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsasoa_eta_sagardoa,bertakoa,sagardoa
Izkira egosiak,itsaskia,bigarren platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izkira_egosiak,,izkira
Izokin kanape edo pintxoa,arraina,lehen platerak,hotza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izokin_kanape_edo_pintxoa,frantzia,izokin
Izokin kremaz beteriko tartaletak,arraina,bigarren platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izokin_kremaz_beteriko_tartaletak,,izokin
Izokin marinatua,arraina,bigarren platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izokin_marinatua,,izokin
Kafe budina,arrautza,lehen platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kafe_budina,,kafe
Kalabazin txalupak otarrainxka eta ziazerbaz beteak,oliba olioa,lehen platerak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kalabazin_txalupak_otarrainxka_eta_ziazerbaz_beteak,,"kalabazin, otarrainxka, ziazerba"
Kardua urdaiazpiko eta arrautza eskalfatuarekin,"barazkia, arrautza",lehen platerak,egosi,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kardua,_urdaiazpiko_eta_arrautza_eskalfatuarekin",espainia,"kardua, urdaiazpiko, arrautza"
Kokotxak leka eta tomate konpotarekin,"lekaleak, arraina, oliba olioa",bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kokotxak_leka_eta_tomate_konpotarekin,bertakoa,"kokotx, leka, tomate"
Krema ingelesa,arrautza,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Krema_ingelesa,,
Krema opila,arrautza,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Krema_opila,,
Kremaz beteriko krepeak,arrautza,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kremaz_beteriko_krepeak,frantzia,
Kuia krema otarrainxkekin,oliba olioa,lehen platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kuia_krema_otarrainxkekin,,"kuia, otarrainxk"
Kuia tomate eta kantauriko-antxoa lasagna,oliba olioa,lehen platerak,labekatu,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kuia,_tomate_eta_Kantauriko_antxoa_lasagna",italia,"kuia, tomate, kantauriko-antxoa"
Kuia-txikiz eginiko milorria bakailaoz betea,oliba olioa,lehen platerak,betea,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kuia_txikiz_eginiko_milorria,_bakailaoz_betea",,"kuia-txiki, bakailao"
Lanperna egosiak,itsaskia,bigarren platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Lanperna_egosiak,,lanperna
Legatz arrautzaztatua,arraina,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_arrautzaztatua,,
Legatz betea,arraina,bigarren platerak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_betea,,
Legatz-kokotea labean,arraina,bigarren platerak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_kokotea_labean,bertakoa,
Legatz-kokotxak arrautzaztatuak,arraina,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_kokotxak_arrautzaztatuak,bertakoa,
Legatz xerrak plantxan barazki eta baratxuri-freskoekin,"barazkia, arraina",bigarren platerak,plantxan,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_xerrak_plantxan,_barazki_eta_baratxuri_freskoekin",bertakoa,"barazki, baratxuri-fresko"
Legatza barazkiekin papillote erara,"arraina, oliba olioa",bigarren platerak,egosi,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_barazkiekin,_papillote_erara",,barazki
Legatza otarrainxka saldarekin eta txirlekin,"arraina, oliba olioa",lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_otarrainxka_saldarekin_eta_txirlekin,bertakoa,"otarrainxka, txirl"
Legatza plantxan barazkiekin,"barazkia, arraina, oliba olioa",bigarren platerak,plantxan,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_plantxan,_barazkiekin",,barazki
Legatza plantxan kuia-txikiarekin eta pipermorroekin,"barazkia, arraina, oliba olioa",bigarren platerak,plantxan,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_plantxan,_kuia_txikiarekin_eta_pipermorroekin",,"kuia-txikia, pipermorro"
Legatza saltsa-berdean txirla eta kokotxekin,"itsaskia, arraina",bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatza_saltsa_berdean_txirla_eta_kokotxekin,bertakoa,"txirla, kokotx"
Leka eta txanpiñoiak otarrainxkekin,"lekaleak, barazkia, oliba olioa",lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Leka_eta_txanpiak_otarrainxkekin,,"leka, txanpiñoi, otarrainxk"
Leka-freskoak txipiroi eta tipula goxatuarekin,"lekaleak, barazkia, oliba olioa",lehen platerak,sueztitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Leka_freskoak_txipiroi_eta_tipula_goxatuarekin,bertakoa,"leka-fresko, txipiroi, tipula"
Lupia labean,arraina,bigarren platerak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Lupia_labean,,lupia
Lupia sagardo eta itsaski lurrinekin,arraina,bigarren platerak,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Lupia,_sagardo_eta_itsaski_lurrinekin",bertakoa,"lupia, sagardo, itsaski"
Lurrunetan eginiko arroza,arroza,lehen platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Lurrunetan_eginiko_arroza,,
Marmitakoa2,arraina,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marmitakoa_2,bertakoa,
Marrubi eta kremazko hostopilak,"fruta, arrautza",azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubi_eta_kremazko_hostopilak,,marrubi
Marrubi gelatina,fruta,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubi_gelatina,,marrubi
Marrubi-izozkia,fruta,azkenburukoak,hotza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubi_izozkia,,
Marrubi marmelada,fruta,azkenburukoak,hotza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubi_marmelada,,marrubi
Marrubi-tarta,fruta,azkenburukoak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubi_tarta,,
Marrubi-tarta2,"fruta, arrautza",azkenburukoak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubi_tarta_2,,
Marrubiak esne-gain krema eta almendrekin,fruta,azkenburukoak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Marrubiak_esne-gain_krema_eta_almendrekin,,"marrubi, esne-gain, almend"
Mendrezka errea,arraina,bigarren platerak,erre,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Mendrezka_errea,,mendrezka
Mihi-arrain xerrak ganbekin txakolin saltsan,itsaskia,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Mihi-arrain_popietak_ganbekin_txakolin_saltsan,bertakoa,"mihi-arrain, ganb, txakolin"
Muskuilu goxatuak,itsaskia,bigarren platerak,sueztitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Muskuilu_goxatuak,,muskuilu
Muskuilu krema,itsaskia,bigarren platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Muskuilu_krema,,muskuilu
Nafarroako pikillo-piperrak bakailaoz beteak,oliba olioa,lehen platerak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Nafarroako_pikillo_piperrak_bakailaoz_beteak,bertakoa,"nafarroako, pikillo-piperr, bakailao"
Nafarroako-zainzuriak bakailao-kokotxekin,oliba olioa,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Nafarroako_zainzuriak_bakailao_kokotxekin,bertakoa,"nafarroako-zainzuri, bakailao-kokotx"
Nafarroako-zainzuriak onddoz beteak,oliba olioa,lehen platerak,betea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Nafarroako_zainzuriak_onddoz_beteak,bertakoa,"nafarroako-zainzuri, onddo"
Natilak,arrautza,azkenburukoak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Natilak,bertakoa,natil
Boilur-beltz nahaskia,arrautza,lehen platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Neguko_boilur_beltzen_nahaskia,espainia,
Odolki kurruskatsuak pikillo-piperrekin eta azarekin,oliba olioa,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Odolki_kurruskatsuak_pikillo_piperrekin_eta_azarekin,bertakoa,"odolki, aza"
Odolkiz beteriko brik-orriak baba kremarekin,"barazkia, oliba olioa",lehen platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Odolkiz_beteriko_brik_orriak_babarrun_kremarekin,bertakoa,"odolki, baba"
Ogi-opilak,arrautza,azkenburukoak,labekatu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ogi_opilak,,
Oilagorrak saltsan,oliba olioa,bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Oilagorrak_saltsan,,oilagorr
Oilasko eta arrautza kroketak,arrautza,lehen platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Oilasko_eta_arrautza_kroketak,,"oilasko, arrautza"
Oilasko-izterrak txanpiñoi krema eta curryarekin,oliba olioa,bigarren platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Oilasko_izterrak_txanpinoi_krema_eta_curryarekin,asia,"oilasko-izterr, txanpiñoi, currya"
Oilasko kroketak,arrautza,lehen platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Oilasko_kroketak,,oilasko
Olagarro entsalada epela,barazkia,lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Olagarro_entsalada_epela,,olagarro
Onddo-berria gorringoarekin,arrautza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Onddo_berria_gorringoarekin,bertakoa,onddo-berria
Onddo carpaccioa,oliba olioa,lehen platerak,carpaccio,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Onddo_%27carpaccio%27a,bertakoa,onddo
Onddoak papillote erara,oliba olioa,lehen platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Onddoak_papillote_erara,bertakoa,onddo
Onddoz beteriko kiribil kurruskatsua kuia kremarekin,oliba olioa,lehen platerak,kremak,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Onddoz_beteriko_kiribil_kurruskatsua,_kuia_kremarekin",bertakoa,"onddo, kuia"
Ontzian eginiko arrautza,arrautza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ontzian_eginiko_arrautza,,arrautza
Orburu pintxoa urdaiazpiko tomate eta piperrekin,oliba olioa,lehen platerak,hotza,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburu_pintxoa_urdaiazpiko,_tomate_eta_piperrekin",espainia,"orburu, urdaiazpiko, tomate"
Orburu-txipsak eta orburu egosiak,oliba olioa,bigarren platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburu_%27txips%27-ak_eta_orburu_egosiak,,"orburu-txips, orburu"
Orburua arroz-odolkia eta arrautza gorringoa plantxan,"oliba olioa, arroza, arrautza",lehen platerak,plantxan,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburua,_arroz_odolkia_eta_arrautza_gorringoa_plantxan",bertakoa,"orburua, arroz-odolkia, arrautza"
Orburuak entsaladan raf-tomateekin,oliba olioa,lehen platerak,entsalada,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburuak_entsaladan,_raf_tomateekin",,orburu
Orburuak urdaiazpiko eta arrautza galdarraztatuekin,"oliba olioa, arrautza",lehen platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburuak_urdaiazpiko_eta_arrautza_galdarraztatuekin,espainia,"orburu, urdaiazpiko, arrautza"
Orburuak urdaiazpiko ziazerba eta beasaingo-odolkiarekin,oliba olioa,lehen platerak,,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburuak,_urdaiazpiko,_ziazerba_eta_Beasaingo_odolkiarekin",espainia,"orburu, urdaiazpiko, ziazerba, beasaingo-odolkia"
Orburuak urdaiazpikoarekin eta beasaingo-odolkiarekin,oliba olioa,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Orburuak_urdaiazpikoarekin_eta_Beasaingo_odolkiarekin,espainia,"orburu, urdaiazpikoa, beasaingo-odolkia"
Otarrainxka egosiak,itsaskia,bigarren platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Otarrainxka_egosiak,,otarrainxka
Otarrainxka eta onddo milorria,"itsaskia, oliba olioa",lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Otarrainxka_eta_onddo_milorria,bertakoa,"otarrainxka, onddo"
Otarrainxka plantxan edo zartaginean,itsaskia,bigarren platerak,plantxan,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Otarrainxka_plantxan_edo_zartaginean,,otarrainxka
Otarrainxkak ziza kremarekin eta arrautzekin,"itsaskia, oliba olioa, arrautza",bigarren platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Otarrainxkak_ziza_kremarekin_eta_arrautzekin,,"otarrainxk, ziza, arrautz"
Otarrainxkaz eta barazkiz beteriko kirriskatsuak,"itsaskia, barazkia",lehen platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Otarrainxkaz_eta_barazkiz_beteriko_kirriskatsuak,,"otarrainxka, barazki"
Paella-valentziarra,arroza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Paella_Valentziarra,espainia,
Pasta barazkiekin,pasta,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Pasta_barazkiekin,italia,barazki
Pasta boloniarra,pasta,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Pasta_boloniar_erara,italia,
Pasta carbonara,pasta,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Pasta_carbonara,italia,
Pasta entsalada,pasta,lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Pasta_entsalada,italia,
Pasta-freskoa,pasta,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Pasta_freskoa,italia,
