recipe,ingredient_group,order,technique,url,origin,ingredients
Arto-irin tortilak,arrautza,bigarren platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arto_irin_tortillak,mexiko,arto-irin
Askotariko paella,arroza,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Askotariko_paella,espainia,
Atun-mendrezka plantxan tomate eta otarrainxkekin,"arraina, oliba olioa",bigarren platerak,plantxan,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atun_mendrezka_plantxan_tomate_eta_otarrainxkekin,,"atun-mendrezka, tomate, otarrainxk"
Atungorri carpaccioa,arraina,lehen platerak,carpaccio,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atungorri_carpaccioa,,
Atungorri sashimia,arraina,lehen platerak,hotza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atungorri_sashimia,asia,
Azenario purea,barazkia,lehen platerak,kremak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Azenario_purea,,azenario
Azpizuna plantxan,haragia,bigarren platerak,plantxan,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Azpizuna_plantxan,,azpizuna
Baba egosia,lekaleak,lehen platerak,egosi,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baba_egosia,,baba
Baba-zuriak,lekaleak,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Babarrun_zuriak,,baba-zuri
Babak ilarrekin,lekaleak,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Babak_ilarrekin,,"bab, ilar"
Babak urdaiazpikoarekin,lekaleak,lehen platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Babak_urdaiazpikoarekin,espainia,"bab, urdaiazpikoa"
Bakailao brandada piperrekin eta ziazerbekin,"arraina, oliba olioa",bigarren platerak,,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_brandada_piperrekin_eta_ziazerbekin,europa,"bakailao, ziazerb"
Bakailao carpaccioa ziza eta pinaziekin,"arraina, oliba olioa",lehen platerak,carpaccio,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_carpaccioa,_ziza_eta_pinaziekin",,"bakailao, ziza, pinazi"
Bakailao edo legatz kroketak,arraina,lehen platerak,frijitu,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_edo_legatz_kroketak,,bakailao
Bakailao entsalada,arraina,lehen platerak,entsalada,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_entsalada,,bakailao
