recipe,ingredient,recipe_url,cleaned,order,technique
Azenario purea,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Azenario_purea,Azenario purea,,
Azpizuna plantxan,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Azpizuna_plantxan,Azpizuna plantxan,,Plantxan
Baba egosia,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baba_egosia,Baba egosia,,
Babak ilarrekin,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Babak_ilarrekin,Baba ilar,,
Babak urdaiazpikoarekin,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Babak_urdaiazpikoarekin,Baba urdaiazpikoa,,
Babarrun zuriak,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Babarrun_zuriak,Babarrun zuria,,
Bakailao brandada piperrekin eta ziazerbekin,"Oliba olioa, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_brandada_piperrekin_eta_ziazerbekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_brandada_piperrekin_eta_ziazerbekin",Bakailao brandada piper ziazerbekin,Bigarren platerak,
Bakailao carpaccioa ziza eta pinaziekin,"Oliba olioa, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_carpaccioa,_ziza_eta_pinaziekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_carpaccioa,_ziza_eta_pinaziekin",Bakailao carpaccioa ziza pinaziekin,,
Bakailao edo legatz kroketak,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_edo_legatz_kroketak,Bakailao legatz kroketa,,
Bakailao entsalada,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_entsalada,Bakailao entsalada,,Entsalada
Bakailao eta piper erre entsalada epela,"Oliba olioa, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_eta_piper_erre_entsalada_epela, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_eta_piper_erre_entsalada_epela",Bakailao piper erre entsalada epela,Lehen platerak,Entsalada
Bakailao frijitua,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_frijitua,Bakailao frijitua,,
Bakailao kokotxak gari zainzuri eta piper freskoekin,"Oliba olioa, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_kokotxak_gari_zainzuri_eta_piper_freskoekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_kokotxak_gari_zainzuri_eta_piper_freskoekin",Bakailao kokotxa gari zainzuri piper freskoekin,Bigarren platerak,
Bakailao kokotxak saltsa berdean,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_kokotxak_saltsa_berdean,Bakailao kokotxa saltsa berdean,,
Bakailao konfitatua basmati arrozarekin eta ziazerbekin,"Oliba olioa, Arroza, Barazkia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua,_basmati_arrozarekin_eta_ziazerbekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua,_basmati_arrozarekin_eta_ziazerbekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua,_basmati_arrozarekin_eta_ziazerbekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua,_basmati_arrozarekin_eta_ziazerbekin",Bakailao konfitatua basmati arroza ziazerbekin,,
Bakailao konfitatua piperrekin,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_konfitatua_piperrekin,Bakailao konfitatua piper,,
Bakailao masailak saltsa berdean patatekin,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_masailak_saltsa_berdean_patatekin,Bakailao masaila saltsa berdean patatekin,,
Bakailao nahaskia,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_nahaskia,Bakailao nahaskia,,
Bakailao tortilla,"Arraina, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_tortilla, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailao_tortilla",Bakailao tortilla,,
Bakailaoa bizkaitar erara,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoa_bizkaitar_erara,Bakailaoa bizkait,,
Bakailaoa frijitua piper saltsa eta alioli gainerrea,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoa_frijitua_piper_saltsa_eta_alioli_gainerrea,Bakailaoa frijitua piper saltsa alioli gainerrea,,
Bakailaoa pil pil erara,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoa_pil-pil_erara,Bakailaoa pil pil,,
Bakailaoaren brandada,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailaoaren_brandada,Bakailaoaren brandada,,
Bakailo piper beteak,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bakailo_piper_beteak,Bakailo piper betea,,
Baratxuri zopa bakailaoarekin,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baratxuri_zopa_bakailaoarekin,Baratxuri zopa bakailaoa,Lehen platerak,Zopak
Baratxuri zopa2,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baratxuri_zopa_2,Baratxuri zopa2,,
Barazki betegaia,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_betegaia,Barazki betegaia,,
Barazki budina,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_budina,Barazki budina,,
Barazki estrudela,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_estrudela,Barazki estrudela,,
Barazki eta otarrainxka risottoa,"Oliba olioa, Arroza, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_otarrainxka_risottoa, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_otarrainxka_risottoa, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_otarrainxka_risottoa",Barazki otarrainxka risottoa,Lehen platerak,
Barazki eta txekor azpizun erregosia,"Barazkia, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_txekor_azpizun_erregosia, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_txekor_azpizun_erregosia",Barazki txekor azpizun erregosia,Lehen platerak,Erregosi
Barazki eta txipiroi entsalada,"Oliba olioa, Itsaskia, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_txipiroi_entsalada, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_txipiroi_entsalada, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_txipiroi_entsalada",Barazki txipiroi entsalada,Lehen platerak,Entsalada
Barazki eta txipiroi risottoa,"Oliba olioa, Itsaskia, Arroza, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_txipiroi_risottoa, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_txipiroi_risottoa, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_txipiroi_risottoa, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_txipiroi_risottoa",Barazki txipiroi risottoa,Lehen platerak,
Barazki eta zapo risotoa,"Oliba olioa, Arroza, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_zapo_risotoa, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_zapo_risotoa, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_eta_zapo_risotoa",Barazki zapo risotoa,Lehen platerak,
