Title,Ingredient,Order,Technique,Url
Arroza japoniar eran egosia,['Arroza'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_japoniar_eran_egosia']
Arroza oilasko eta curryarekin,['Arroza'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_oilasko_eta_curryarekin']
Arroza oilaskoarekin,['Arroza'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_oilaskoarekin']
Arroza txipiroiekin,"['Arroza', 'Oliba olioa']",['Lehen platerak'],[],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_txipiroiekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_txipiroiekin']"
Arrozezko odolki kruxpetak piper kremarekin,"['Arroza', 'Haragia']",['Lehen platerak'],['Kremak'],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrozezko_odolki_kruxpetak_piper_kremarekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrozezko_odolki_kruxpetak_piper_kremarekin']"
Arto irin tortillak,['Arrautza'],['Azkenburukoak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arto_irin_tortillak']
Askotariko paella,['Arroza'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Askotariko_paella']
Atun mendrezka plantxan tomate eta otarrainxkekin,"['Arraina', 'Oliba olioa']",['Bigarren platerak'],['Plantxan'],"['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atun_mendrezka_plantxan_tomate_eta_otarrainxkekin', 'https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atun_mendrezka_plantxan_tomate_eta_otarrainxkekin']"
Atungorri carpaccioa,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atungorri_carpaccioa']
Atungorri sashimia,['Arraina'],['Bigarren platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atungorri_sashimia']
Azenario purea,['Barazkia'],['Lehen platerak'],[],['https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Azenario_purea']
