recipe,ingredient,recipe_url,cleaned,order,technique,origin
Arroz zuria txirlekin,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroz_zuria_txirlekin,Arroz zuria txirlekin,Lehen platerak,,Bertakoa
Arroza abakandoarekin,"Itsaskia, Arroza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_abakandoarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_abakandoarekin",Arroza abakandoa,Lehen platerak,,Bertakoa
Arroza barazkiekin,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_barazkiekin,Arroza barazkiekin,Lehen platerak,,
Arroza japoniar eran egosia,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_japoniar_eran_egosia,Arroza japoni egosia,Lehen platerak,Egosi,
Arroza oilasko eta curryarekin,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_oilasko_eta_curryarekin,Arroza oilasko currya,Lehen platerak,,Asia
Arroza oilaskoarekin,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_oilaskoarekin,Arroza oilaskoa,Lehen platerak,,
Arroza txibiekin,"Itsaskia, Arroza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_Txibiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_Txibiekin",Arroza txibiekin,Lehen platerak,,Bertakoa
Arroza txipiroiekin,"Oliba olioa, Itsaskia, Arroza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_txipiroiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_Txipiroiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_Txipiroiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arroza_txipiroiekin",Arroza txipiroiekin,Lehen platerak,,Bertakoa
Arrozezko odolki kruxpetak piper kremarekin,"Arroza, Haragia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrozezko_odolki_kruxpetak_piper_kremarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arrozezko_odolki_kruxpetak_piper_kremarekin",Arrozezko odolki kruxpeta piper krema,Lehen platerak,Kremak,Bertakoa
Arto irin tortillak,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Arto_irin_tortillak,Arto irin tortilla,Azkenburukoak,Frijitu,Mexiko
Askotariko paella,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Askotariko_paella,Askotariko paella,Lehen platerak,,Espainia
Atun mendrezka plantxan tomate eta otarrainxkekin,"Oliba olioa, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atun_mendrezka_plantxan_tomate_eta_otarrainxkekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atun_mendrezka_plantxan_tomate_eta_otarrainxkekin",Atun mendrezka plantxan tomate otarrainxkekin,Bigarren platerak,Plantxan,
Atungorri carpaccioa,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atungorri_carpaccioa,Atungorri carpaccioa,Lehen platerak,Carpaccio,
Atungorri sashimia,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Atungorri_sashimia,Atungorri sashimia,Lehen platerak,,Asia
Azenario purea,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Azenario_purea,Azenario purea,Lehen platerak,Kremak,
Azpizuna plantxan,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Azpizuna_plantxan,Azpizuna plantxan,Bigarren platerak,Plantxan,
Baba egosia,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baba_egosia,Baba egosia,Lehen platerak,Egosi,
Babak ilarrekin,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Babak_ilarrekin,Baba ilar,Lehen platerak,,
Babak urdaiazpikoarekin,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Babak_urdaiazpikoarekin,Baba urdaiazpikoa,Lehen platerak,,Espainia
Babarrun zuriak,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Babarrun_zuriak,Babarrun zuria,Lehen platerak,,
