recipe,ingredient,recipe_url,cleaned,order,technique,origin
Berdela eskabetxean,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Berdela_eskabetxean,Berdela eskabetxean,Lehen platerak,Entsalada,
Berdela labean piperradarekin,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Berdela_labean_piperradarekin,Berdela labean piperrada,Bigarren platerak,Labekatu,Bertakoa
Bexamelaz eginiko haragi betegaia,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bexamelaz_eginiko_haragi_betegaia,Bexamelaz eginiko haragi betegaia,Bigarren platerak,Betea,
Bijiliako txitxirioak,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bijiliako_Txitxirioak,Bijiliako txitxirioa,Lehen platerak,,Espainia
Biribilkia saltsan,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Biribilkia_saltsan,Biribilkia saltsan,Bigarren platerak,,Espainia
Bisigua labean,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bisigua_labean,Bisigua labean,Bigarren platerak,Labekatu,
Bizkaitar saltsa,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bizkaitar_saltsa,Bizkait saltsa,Bigarren platerak,,Bertakoa
Bruselazak borraja eta urdaiazpikoarekin,"Barazkia, Haragia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bruselazak_borraja_eta_urdaiazpikoarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bruselazak_borraja_eta_urdaiazpikoarekin",Bruselaza borraja urdaiazpikoa,Lehen platerak,,Espainia
Buia maionesarekin,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Buia_maionesarekin,Buia maionesa,Lehen platerak,Hotza,
Caprese entsalada,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Caprese_entsalada,Caprese entsalada,Lehen platerak,Entsalada,
Cesar entsalada,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Cesar_entsalada,Ces entsalada,Lehen platerak,Entsalada,
Eperrak saltsan,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Eperrak_saltsan,Eperra saltsan,Bigarren platerak,,Espainia
Eperrak txokolate saltsan,Txokolatea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Eperrak_txokolate_saltsan,Eperra txokolate saltsan,Bigarren platerak,,Espainia
Erreboiloa basmati arrozarekin eta lekekin,"Oliba olioa, Arroza, Barazkia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Erreboiloa_basmati_arrozarekin_eta_lekekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Erreboiloa_basmati_arrozarekin_eta_lekekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Erreboiloa_basmati_arrozarekin_eta_lekekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Erreboiloa_basmati_arrozarekin_eta_lekekin",Erreboiloa basmati arroza lekekin,Bigarren platerak,,Asia
Erremolatxa egosia,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Erremolatxa_egosia,Erremolatxa egosia,Lehen platerak,Egosi,
Etxeko bizkotxoa marrubiekin eta esne gainarekin,"Fruta, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Etxeko_bizkotxoa_marrubiekin_eta_esne_gainarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Etxeko_bizkotxoa_marrubiekin_eta_esne_gainarekin",Etxeko bizkotxoa marrubiekin esne gaina,Azkenburukoak,Labekatu,
Etxeko gailetak kremaz beteak,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Etxeko_gailetak_kremaz_beteak,Etxeko gaileta kremaz betea,Azkenburukoak,Kremak,
Fideua barazki eta muskuiluekin,"Oliba olioa, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua_barazki_eta_muskuiluekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua_barazki_eta_muskuiluekin",Fideua barazki muskuiluekin,Lehen platerak,,Espainia
Fideua barazki eta otarrainxkekin,"Oliba olioa, Pasta, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua,_barazki_eta_otarrainxkekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua,_barazki_eta_otarrainxkekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua,_barazki_eta_otarrainxkekin",Fideua barazki otarrainxkekin,Lehen platerak,,Espainia
Fideua otarrainxka eta barazkiekin,"Oliba olioa, Pasta, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua_otarrainxka_eta_barazkiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua_otarrainxka_eta_barazkiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua_otarrainxka_eta_barazkiekin",Fideua otarrainxka barazkiekin,Lehen platerak,,Espainia
Fideua txibiekin,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fideua_txibiekin,Fideua txibiekin,Bigarren platerak,,Espainia
Flamenka eran eginiko arrautzak,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Flamenka_eran_eginiko_arrautzak,Flamenka eginiko arrautza,Lehen platerak,,Espainia
Fouti arroza,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fouti_arroza,Fouti arroza,Lehen platerak,,Afrika
Frantziar lekak perretxiko eta otarrainxkekin,"Oliba olioa, Lekaleak, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Frantziar_lekak_perretxiko_eta_otarrainxkekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Frantziar_lekak_perretxiko_eta_otarrainxkekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Frantziar_lekak_perretxiko_eta_otarrainxkekin",Frantzi leka perretxiko otarrainxkekin,Lehen platerak,,Frantzia
Frijitzeko orea,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Frijitzeko_orea,Frijitzeko orea,Lehen platerak,Frijitu,
Fruta gelatina bainua,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fruta_gelatina_bainua,Fruta gelatina bainua,Azkenburukoak,Marian,
Fruta mazedonia,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fruta_mazedonia,Fruta mazedonia,Azkenburukoak,Hotza,
Fruta moussea,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Fruta_moussea,Fruta moussea,Azkenburukoak,,Frantzia
Gaileta tarta eta txokolate zurizko kremarekin,Txokolatea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gaileta-tarta_eta_txokolate_zurizko_kremarekin,Gaileta tarta txokolate zurizko krema,Azkenburukoak,Kremak,
Galeper arrautza pintxoa,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Galeper_arrautza_pintxoa,Galeper arrautza pintxoa,Lehen platerak,Hotza,
Galeperra arrautza egosia,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Galeperra_arrautza_egosia,Galeperra arrautza egosia,Lehen platerak,Egosi,
Galiziar haragi enpanada,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Galiziar_haragi_enpanada,Galizi haragi enpanada,Bigarren platerak,Betea,Espainia
Ganbak baratxuritan,"Itsaskia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_baratxuritan, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_baratxuritan",Ganba baratxuritan,Bigarren platerak,,Espainia
Ganbak plantxan edo parrilan,"Itsaskia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_plantxan_edo_parrilan, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_plantxan_edo_parrilan",Ganba plantxan parrilan,Bigarren platerak,Plantxan,
Ganbak plantxan edo zartaginean,"Itsaskia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_plantxan_edo_zartaginean, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbak_plantxan_edo_zartaginean",Ganba plantxan zartaginean,Bigarren platerak,Plantxan,
Ganbaz beteriko txipiroi frijitua,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ganbaz_beteriko_txipiroi_frijitua,Ganbaz beteriko txipiroi frijitua,Bigarren platerak,Frijitu,Bertakoa
Garaiko barazki burruntzia,"Oliba olioa, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Garaiko_barazki_burruntzia, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Garaiko_barazki_burruntzia",Garaiko barazki burruntzia,Lehen platerak,Plantxan,
Garaiko ilarrak patata ziazerba eta txirlekin,Lekaleak,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Garaiko_ilarrak,_patata,_ziazerba_eta_txirlekin",Garaiko ilarra patata ziazerba txirlekin,Lehen platerak,,Bertakoa
Garbantzuak tripakiekin,"Oliba olioa, Lekaleak","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Garbantzuak_tripakiekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Garbantzuak_tripakiekin",Garbantzua tripakiekin,Lehen platerak,,Espainia
Gari zainzuriak plantxan txipiroiekin,Oliba olioa,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gari_zainzuriak_plantxan,_txipiroiekin",Gari zainzuria plantxan txipiroiekin,Lehen platerak,Plantxan,Bertakoa
Gazta eta urdai egosi frijituak,Esnekiak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_eta_urdai_egosi_frijituak,Gazta urdai egosi frijitua,Azkenburukoak,Egosi,
Gazta izozkia,Esnekiak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_izozkia,Gazta izozkia,Azkenburukoak,Kremak,
Gazta krema,Esnekiak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_krema,Gazta krema,Azkenburukoak,Kremak,
Gazta kroketak,Esnekiak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_kroketak,Gazta kroketa,Lehen platerak,Frijitu,
Gazta tarta labean,Esnekiak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_tarta_labean,Gazta tarta labean,Azkenburukoak,Labekatu,
Gazta tarta mugurdi mermeladarekin,Esnekiak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_tarta_mugurdi_mermeladarekin,Gazta tarta mugurdi mermelada,Azkenburukoak,Labekatu,
Gazta urdin kanape edo pintxoa,Esnekiak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_urdin_kanape_edo_pintxoa,Gazta urdin kanape pintxoa,Lehen platerak,Hotza,Frantzia
Gazta urdin krema kanapea,Esnekiak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gazta_urdin_krema_kanapea,Gazta urdin krema kanapea,Azkenburukoak,Kremak,Frantzia
Gaztaz beteriko ravioliak txanpiñoi eta txirla kremarekin,"Esnekiak, Pasta","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gaztaz_beteriko_ravioliak_txanpi%C3%B1oi_eta_txirla_kremarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gaztaz_beteriko_ravioliak_txanpi%C3%B1oi_eta_txirla_kremarekin",Gaztaz beteriko raviolia txanpiñoi txirla krema,Lehen platerak,Kremak,
Gianduja krema,Txokolatea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Gianduja_krema,Gianduja krema,Azkenburukoak,Kremak,
Guakamole txalupa otarrainxkekin,"Oliba olioa, Fruta","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Guakamole_txalupa_otarrainxkekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Guakamole_txalupa_otarrainxkekin",Guakamole txalupa otarrainxkekin,Lehen platerak,,Mexiko
Guakamolea,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Guakamolea,Guakamolea,Lehen platerak,,Mexiko
Guakamoleta,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Guakamoleta,Guakamoleta,Lehen platerak,,Mexiko
Haragi betegaia,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_betegaia,Haragi betegaia,Bigarren platerak,Betea,
Haragi bolak barazki saltsan,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_bolak_barazki_saltsan,Haragi bola barazki saltsan,Bigarren platerak,,Espainia
Haragi bolak tomate saltsan,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_bolak_tomate_saltsan,Haragi bola tomate saltsan,Bigarren platerak,,Espainia
Haragi carpaccioa,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_carpaccioa,Haragi carpaccioa,Lehen platerak,Carpaccio,
Haragi egosiz eta txanpinoiz beteriko piperrak,"Oliba olioa, Haragia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_egosiz_eta_txanpinoiz_beteriko_piperrak, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_egosiz_eta_txanpinoiz_beteriko_piperrak",Haragi egosiz txanpinoiz beteriko piperra,Bigarren platerak,Egosi,
Haragi enpanada,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_enpanada,Haragi enpanada,Bigarren platerak,Betea,
Haragi enpanadilla,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_enpanadilla,Haragi enpanadilla,Bigarren platerak,Betea,
Haragi gisatua,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_gisatua,Haragi gisatua,Bigarren platerak,Erregosi,
Haragi kaneloiak,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_kaneloiak,Haragi kaneloia,Lehen platerak,,Italia
Haragi kroketak,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_kroketak,Haragi kroketa,Lehen platerak,Frijitu,
Haragi lasagna,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_lasagna,Haragi lasagna,Lehen platerak,,Italia
Haragi ragouta,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragi_ragouta,Haragi ragouta,Bigarren platerak,,Italia
Haragia tartar eran,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragia_tartar_eran,Haragia tart,Lehen platerak,Entsalada,
Haragizko piper beteak,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Haragizko_piper_beteak,Haragizko piper betea,Bigarren platerak,Betea,
Hegalaburra papillote eran,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegalaburra_papillote_eran,Hegalaburra papillote,Bigarren platerak,Egosi,
Hegaluze ahuakate eta piper tartarra,"Oliba olioa, Barazkia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze,_ahuakate_eta_piper_tartarra, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze,_ahuakate_eta_piper_tartarra, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze,_ahuakate_eta_piper_tartarra",Hegaluze ahuakate piper tartarra,Lehen platerak,Entsalada,Bertakoa
Hegaluze edo arrain betegaia,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_arrain_betegaia,Hegaluze arrain betegaia,Bigarren platerak,Betea,Bertakoa
Hegaluze edo hegalabur salda,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalabur_salda,Hegaluze hegalabur salda,Lehen platerak,Zopak,Bertakoa
Hegaluze edo hegalaburra ontziratua,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalaburra_ontziratua,Hegaluze hegalaburra ontziratua,Bigarren platerak,,Bertakoa
Hegaluze edo hegalaburra tipularekin,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalaburra_tipularekin,Hegaluze hegalaburra tipula,Bigarren platerak,,Bertakoa
Hegaluze edo hegalaburra tomatearekin,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_edo_hegalaburra_tomatearekin,Hegaluze hegalaburra tomatea,Bigarren platerak,,Bertakoa
Hegaluze enpanada,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_enpanada,Hegaluze enpanada,Bigarren platerak,Betea,Bertakoa
Hegaluze enpanadilla,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_enpanadilla,Hegaluze enpanadilla,Bigarren platerak,Betea,Bertakoa
Hegaluze entsalada otarrainxka eta piper gorriz eginiko tar tarrarekin,"Oliba olioa, Barazkia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_entsalada,_otarrainxka_eta_piper_gorriz_eginiko_tar-tarrarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_entsalada,_otarrainxka_eta_piper_gorriz_eginiko_tar-tarrarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_entsalada,_otarrainxka_eta_piper_gorriz_eginiko_tar-tarrarekin",Hegaluze entsalada otarrainxka piper gorriz eginiko t tarra,Lehen platerak,Entsalada,Bertakoa
Hegaluze eta ibarrako piper pintxoa,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_eta_Ibarrako_piper_pintxoa,Hegaluze ibarrako piper pintxoa,Lehen platerak,Hotza,Bertakoa
Hegaluze tartarra,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluze_tartarra,Hegaluze tartarra,Lehen platerak,Entsalada,Bertakoa
Hegaluzea asiako erara udaberriko entsaladan,"Oliba olioa, Barazkia, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluzea_Asiako_erara,_udaberriko_entsaladan, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluzea_Asiako_erara,_udaberriko_entsaladan, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluzea_Asiako_erara,_udaberriko_entsaladan",Hegaluzea asiako udaberriko entsaladan,Lehen platerak,Entsalada,Bertakoa
Hegaluzea tomate konpotarekin,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hegaluzea_tomate_konpotarekin,Hegaluzea tomate konpota,Bigarren platerak,,Bertakoa
Hiru gutiziko arroza,Arroza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hiru_gutiziko_arroza,Hiru gutiziko arroza,Lehen platerak,,Asia
Hostopil koka,"Oliba olioa, Barazkia","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hostopil_koka, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hostopil_koka",Hostopil koka,Lehen platerak,Labekatu,Espainia
Hostopila odolki eta barazkiz beteta,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hostopila_odolki_eta_barazkiz_beteta,Hostopila odolki barazkiz beteta,Lehen platerak,Labekatu,Bertakoa
Hur eta txokolate opila,Txokolatea,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Hur_eta_txokolate_opila,Hur txokolate opila,Azkenburukoak,Labekatu,
Ilar budina,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ilar_budina,Il budina,Lehen platerak,Egosi,
Ilar egosia,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ilar_egosia,Il egosia,Lehen platerak,Egosi,
Ilar krema,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ilar_krema,Il krema,Lehen platerak,Kremak,
Ilarrak urdaiazpikoarekin,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Ilarrak_urdaiazpikoarekin,Ilarra urdaiazpikoa,Lehen platerak,,Espainia
Irasagarra2,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Irasagarra_2,Irasagarra2,Azkenburukoak,Hotza,
Itsas paella,"Oliba olioa, Itsaskia, Arroza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_paella, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_paella, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_paella",Itsas paella,Lehen platerak,,Espainia
Itsas zapoa,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_zapoa,Itsas zapoa,Bigarren platerak,,Bertakoa
Itsas zapoa koxkera erara,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_zapoa_koxkera_erara,Itsas zapoa koxkera,Bigarren platerak,,Bertakoa
Itsas zapoa saltsa berdean txirlekin,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsas_zapoa_saltsa_berdean_txirlekin,Itsas zapoa saltsa berdean txirlekin,Bigarren platerak,,Bertakoa
Itsaski krema,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsaski_krema,Itsaski krema,Bigarren platerak,Kremak,
Itsaski paella,"Itsaskia, Arroza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsaski_paella, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsaski_paella",Itsaski paella,Lehen platerak,,Espainia
Itsaskiak sagardoarekin,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsaskiak_sagardoarekin,Itsaskia sagardoa,Bigarren platerak,,Bertakoa
Itsasoa eta sagardoa,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Itsasoa_eta_sagardoa,Itsasoa sagardoa,Bigarren platerak,,Bertakoa
Izkira egosiak,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izkira_egosiak,Izkira egosia,Bigarren platerak,Egosi,
Izokin kanape edo pintxoa,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izokin_kanape_edo_pintxoa,Izokin kanape pintxoa,Lehen platerak,Hotza,Frantzia
Izokin kremaz beteriko tartaletak,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izokin_kremaz_beteriko_tartaletak,Izokin kremaz beteriko tartaleta,Bigarren platerak,Kremak,
Izokin marinatua,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Izokin_marinatua,Izokin marinatua,Bigarren platerak,Entsalada,
Kafe budina,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kafe_budina,Kafe budina,Lehen platerak,Egosi,
Kalabazin txalupak otarrainxka eta ziazerbaz beteak,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kalabazin_txalupak_otarrainxka_eta_ziazerbaz_beteak,Kalabazin txalupa otarrainxka ziazerbaz betea,Lehen platerak,Betea,
Kardua urdaiazpiko eta arrautza eskalfatuarekin,"Barazkia, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kardua,_urdaiazpiko_eta_arrautza_eskalfatuarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kardua,_urdaiazpiko_eta_arrautza_eskalfatuarekin",Kardua urdaiazpiko arrautza eskalfatua,Lehen platerak,Egosi,Espainia
Kokotxak leka eta tomate konpotarekin,"Oliba olioa, Lekaleak, Arraina","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kokotxak_leka_eta_tomate_konpotarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kokotxak_leka_eta_tomate_konpotarekin, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kokotxak_leka_eta_tomate_konpotarekin",Kokotxa leka tomate konpota,Bigarren platerak,,Bertakoa
Krema ingelesa,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Krema_ingelesa,Krema ingelesa,Azkenburukoak,Kremak,
Krema opila,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Krema_opila,Krema opila,Azkenburukoak,Kremak,
Kremaz beteriko krepeak,Arrautza,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kremaz_beteriko_krepeak,Kremaz beteriko krepea,Azkenburukoak,Kremak,Frantzia
Kuia krema otarrainxkekin,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kuia_krema_otarrainxkekin,Kuia krema otarrainxkekin,Lehen platerak,Kremak,
Kuia tomate eta kantauriko antxoa lasagna,Oliba olioa,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kuia,_tomate_eta_Kantauriko_antxoa_lasagna",Kuia tomate kantauriko antxoa lasagna,Lehen platerak,,Italia
Kuia txikiz eginiko milorria bakailaoz betea,Oliba olioa,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Kuia_txikiz_eginiko_milorria,_bakailaoz_betea",Kuia txikiz eginiko milorria bakailaoz betea,Lehen platerak,Betea,
Lanperna egosiak,Itsaskia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Lanperna_egosiak,Lanperna egosia,Bigarren platerak,Egosi,
Legatz arrautzaztatua,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_arrautzaztatua,Legatz arrautzaztatua,Bigarren platerak,Entsalada,
Legatz betea,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Legatz_betea,Legatz betea,Bigarren platerak,Entsalada,
